COD_IBGE;NRS;MUN;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;C1;C2;C3;C4;C5;C6;C7;C8
290010;Centro-Leste;Abaíra;8316;94.22;0.603;0.577;0.746;0.51;148;14.61;197;625;483;492;314;258;192;115;89;1943
290020;Norte;Abaré;17064;66.02;0.575;0.533;0.776;0.46;132;6.77;196;2082;516;425;383;273;157;88;78;1920
290030;Nordeste;Acajutiba;14653;74.67;0.582;0.56;0.723;0.487;164;8.88;201;1079;523;450;297;357;147;128;90;1992
290035;Nordeste;Adustina;15702;41.67;0.546;0.526;0.718;0.432;139;7.9;147;1324;552;499;391;286;202;119;75;2124
290040;Centro-Leste;Água Fria;15731;50.8;0.55;0.529;0.747;0.422;174;9.8;236;1977;558;428;462;365;273;124;97;2307
290060;Sul;Aiquara;4602;79.14;0.583;0.573;0.733;0.471;55;10.13;57;498;258;160;122;83;66;53;24;766
290070;Nordeste;Alagoinhas;141949;90.72;0.683;0.681;0.79;0.592;899;7.28;1595;7678;5202;4437;3419;2380;1605;856;664;18563
290080;Extremo Sul;Alcobaça;21271;64.59;0.608;0.611;0.771;0.476;148;6.53;164;1564;873;754;577;343;240;132;115;3034
290090;Sul;Almadina;6357;84.84;0.563;0.563;0.751;0.421;89;10.79;79;762;253;230;170;128;73;49;43;946
290100;Leste;Amargosa;34351;83.56;0.625;0.616;0.807;0.492;437;10.17;611;3176;1278;1163;980;681;637;395;305;5439
290110;Centro-Leste;Amélia Rodrigues;25190;77.07;0.666;0.609;0.81;0.6;156;6.99;233;1595;1019;855;741;421;246;124;87;3493
290115;Centro-norte;América Dourada;15961;63.62;0.561;0.506;0.751;0.464;119;7.3;133;1362;452;264;475;256;175;80;70;1772
290120;Sudoeste;Anagé;25516;30.91;0.54;0.549;0.771;0.371;343;11.09;351;2912;1630;720;810;463;210;178;162;4173
290130;Centro-Leste;Andaraí;13960;39.12;0.555;0.54;0.764;0.415;105;7.42;143;1758;465;347;360;270;138;70;69;1719
290135;Norte;Andorinha;14414;52.5;0.588;0.586;0.731;0.474;137;8.66;193;1170;588;415;441;326;232;101;104;2207
290140;Oeste;Angical;14073;74.43;0.625;0.564;0.778;0.556;117;8.7;112;1086;590;410;317;325;186;129;52;2009
290150;Centro-Leste;Anguera;10242;57.06;0.589;0.565;0.766;0.471;94;10.62;165;1620;365;346;323;305;173;85;82;1679
290160;Nordeste;Antas;17072;81.03;0.592;0.573;0.739;0.491;219;10.22;203;1882;473;415;367;341;217;175;101;2089
290170;Centro-Leste;Antônio Cardoso;11554;40.06;0.561;0.544;0.768;0.422;126;9.48;160;1160;336;310;246;163;129;81;74;1339
290180;Norte;Antônio Gonçalves;11015;65.03;0.598;0.58;0.741;0.498;110;8.63;130;925;361;316;278;190;115;105;74;1439
290190;Nordeste;Aporá;17731;75;0.548;0.516;0.751;0.425;176;9.39;213;1560;580;650;498;455;225;69;100;2577
290195;Sul;Apuarema;7459;72.25;0.552;0.555;0.735;0.413;54;7.87;71;837;301;217;203;107;98;52;39;1017
290205;Nordeste;Araças;11561;65.7;0.57;0.54;0.744;0.462;83;5.25;86;801;403;328;233;121;85;38;53;1261
290200;Sudoeste;Aracatu;13743;49.51;0.581;0.591;0.754;0.439;153;10.43;191;1234;790;470;420;570;190;211;90;2741
290210;Centro-Leste;Araci;51651;41.2;0.534;0.534;0.747;0.381;426;7.35;491;4956;1491;1402;1297;929;588;287;272;6266
290220;Nordeste;Aramari;10036;71.65;0.588;0.568;0.761;0.47;81;7.82;119;958;317;353;201;190;122;72;72;1327
290225;Sul;Arataca;10392;61.84;0.559;0.557;0.758;0.413;88;6.78;63;960;347;362;137;144;22;20;71;1103
290230;Leste;Aratuípe;8599;68.24;0.575;0.57;0.753;0.443;48;6.64;69;773;190;174;166;120;98;80;40;868
290240;Sul;Aurelino Leal;13595;69.73;0.568;0.555;0.759;0.434;122;7.62;116;1382;449;352;270;169;92;72;30;1434
290250;Oeste;Baianópolis;13850;68.85;0.589;0.543;0.763;0.492;120;8.3;129;782;551;406;349;295;216;106;87;2010
290260;Centro-Leste;Baixa Grande;20060;41.13;0.585;0.549;0.775;0.471;217;9.37;276;1625;736;722;513;451;262;218;151;3053
290265;Nordeste;Banzaê;11814;93.49;0.579;0.539;0.769;0.468;109;8.97;119;1409;420;358;346;293;137;102;57;1713
290270;Oeste;Barra;49325;54.28;0.557;0.503;0.75;0.457;279;6.39;393;5919;1284;1320;690;1125;314;435;387;5555
290280;Sudoeste;Barra da Estiva;21187;81.26;0.575;0.566;0.717;0.469;129;6.65;197;1880;807;770;515;300;250;210;90;2942
290290;Sudoeste;Barra do Choça;34788;80.33;0.551;0.563;0.77;0.386;266;7.28;243;2361;1198;1059;817;617;431;274;133;4529
